message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=4.083784])";"30";"turtlesim1.turtle1";"1696844093.109241153";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.843401])";"30";"turtlesim1.turtle2";"1696844093.106506637";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.843401])";"30";"turtlesim1.turtle3";"1696844093.106276529";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=4.054623])";"30";"turtlesim1.turtle1";"1696844093.093298340";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.814677])";"30";"turtlesim1.turtle2";"1696844093.090388105";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.814677])";"30";"turtlesim1.turtle3";"1696844093.089554538";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=4.025462])";"30";"turtlesim1.turtle1";"1696844093.076956037";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.785952])";"30";"turtlesim1.turtle3";"1696844093.074520501";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.785952])";"30";"turtlesim1.turtle2";"1696844093.074020950";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.996300])";"30";"turtlesim1.turtle1";"1696844093.060840821";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.757227])";"30";"turtlesim1.turtle2";"1696844093.057845299";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.757227])";"30";"turtlesim1.turtle3";"1696844093.057868093";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.967139])";"30";"turtlesim1.turtle1";"1696844093.045160143";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.728502])";"30";"turtlesim1.turtle2";"1696844093.041716548";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.728502])";"30";"turtlesim1.turtle3";"1696844093.041692457";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.937978])";"30";"turtlesim1.turtle1";"1696844093.029207553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.699777])";"30";"turtlesim1.turtle3";"1696844093.025921884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.699777])";"30";"turtlesim1.turtle2";"1696844093.025676276";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.908816])";"30";"turtlesim1.turtle1";"1696844093.013231647";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.671053])";"30";"turtlesim1.turtle2";"1696844093.009613530";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.671053])";"30";"turtlesim1.turtle3";"1696844093.009635492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.879655])";"30";"turtlesim1.turtle1";"1696844092.997502337";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.642328])";"30";"turtlesim1.turtle2";"1696844092.993980112";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.642328])";"30";"turtlesim1.turtle3";"1696844092.993663249";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.850494])";"30";"turtlesim1.turtle1";"1696844092.981453307";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.613603])";"30";"turtlesim1.turtle2";"1696844092.978265138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.613603])";"30";"turtlesim1.turtle3";"1696844092.977747443";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.821332])";"30";"turtlesim1.turtle1";"1696844092.965600170";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.584878])";"30";"turtlesim1.turtle2";"1696844092.962244893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.584878])";"30";"turtlesim1.turtle3";"1696844092.962080816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.792171])";"30";"turtlesim1.turtle1";"1696844092.949666791";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.556153])";"30";"turtlesim1.turtle3";"1696844092.946416634";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.556153])";"30";"turtlesim1.turtle2";"1696844092.946236060";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.763010])";"30";"turtlesim1.turtle1";"1696844092.933778317";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.527429])";"30";"turtlesim1.turtle3";"1696844092.929999474";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.527429])";"30";"turtlesim1.turtle2";"1696844092.930059879";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.733849])";"30";"turtlesim1.turtle1";"1696844092.916854478";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.498704])";"30";"turtlesim1.turtle3";"1696844092.914305611";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.498704])";"30";"turtlesim1.turtle2";"1696844092.914198868";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.704687])";"30";"turtlesim1.turtle1";"1696844092.901214787";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.469979])";"30";"turtlesim1.turtle3";"1696844092.897621943";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.469979])";"30";"turtlesim1.turtle2";"1696844092.897604310";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.675526])";"30";"turtlesim1.turtle1";"1696844092.885348130";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.441254])";"30";"turtlesim1.turtle2";"1696844092.881774026";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.441254])";"30";"turtlesim1.turtle3";"1696844092.881765170";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.013176, y=3.646365])";"30";"turtlesim1.turtle1";"1696844092.869652603";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.412529])";"30";"turtlesim1.turtle3";"1696844092.865970033";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014103, y=3.412529])";"30";"turtlesim1.turtle2";"1696844092.865947340";"./src/turtle.cpp:update:260"
